home,away,home.odds,tie.odds,away.odds
 Germany , Scotland ,1.27,5.75,11.00
 Hungary , Switzerland ,3.40,3.25,2.20
 Spain , Croatia ,1.80,3.60,4.50
 Italy , Albania ,1.38,4.60,8.75
 Poland , Netherlands ,5.00,3.90,1.66
 Slovenia , Denmark ,5.00,3.50,1.75
 Serbia , England ,6.75,4.40,1.47
 Romania , Ukraine ,3.70,3.30,2.05
 Belgium , Slovakia ,1.49,4.33,6.75
 Austria , France ,6.25,4.60,1.47
 Turkey , Georgia ,1.80,3.50,4.75
 Portugal , Czech Republic ,1.53,4.20,6.00
 Croatia , Albania ,1.57,4.00,6.00
 Germany , Hungary ,1.33,5.25,9.25
 Scotland , Switzerland ,3.50,3.40,2.10
 Slovenia , Serbia ,3.75,3.40,1.98
 Denmark , England ,5.50,3.90,1.62
 Spain , Italy ,2.35,3.30,3.00
 Slovakia , Ukraine ,3.80,3.40,2.00
 Poland , Austria ,3.30,3.50,2.15
 Netherlands , France ,4.33,3.75,1.80
 Georgia , Czech Republic ,4.60,3.50,1.82
 Turkey , Portugal ,5.25,4.00,1.62
 Belgium , Romania ,1.52,4.20,6.00
 Switzerland , Germany ,,,
 Scotland , Hungary ,,,
 Albania , Spain ,,,
 Croatia , Italy ,,,
 Netherlands , Austria ,,,
 France , Poland ,,,
 England , Slovenia ,,,
 Denmark , Serbia ,,,
 Slovakia , Romania ,,,
