"game.id","Nro","Pvm","Klo","Lohko","Koti","Vieras","1","X","2"
"GERSCO",1,"14.06.2024","22:00","A","Saksa","Skotlanti","1.27","5.75","11"
"HUNSUI",2,"15.06.2024","16:00","A","Unkari","Sveitsi","3.4","3.25","2.2"
"ESPCRO",3,"15.06.2024","19:00","B","Espanja","Kroatia","1.8","3.6","4.5"
"ITAALB",4,"15.06.2024","22:00","B","Italia","Albania","1.38","4.6","8.75"
"POLNED",5,"16.06.2024","16:00","D","Puola","Hollanti","5","3.9","1.66"
"SLODEN",6,"16.06.2024","19:00","C","Slovenia","Tanska","5","3.5","1.75"
"SRBENG",7,"16.06.2024","22:00","C","Serbia","Englanti","6.75","4.4","1.47"
"ROMUKR",8,"17.06.2024","16:00","E","Romania","Ukraina","3.7","3.3","2.05"
"BELSVK",9,"17.06.2024","19:00","E","Belgia","Slovakia","1.49","4.33","6.75"
"AUTFRA",10,"17.06.2024","22:00","D","Itävalta","Ranska","6.25","4.6","1.47"
"TURGEO",11,"18.06.2024","19:00","F","Turkki","Georgia","1.8","3.5","4.75"
"PORCZE",12,"18.06.2024","22:00","F","Portugali","Tshekki","1.53","4.2","6"
"CROALB",13,"19.06.2024","16:00","B","Kroatia","Albania","1.57","4","6"
"GERHUN",14,"19.06.2024","19:00","A","Saksa","Unkari","1.33","5.25","9.25"
"SCOSUI",15,"19.06.2024","22:00","A","Skotlanti","Sveitsi","3.5","3.4","2.1"
"SLOSRB",16,"20.06.2024","16:00","C","Slovenia","Serbia","3.75","3.4","1.98"
"DENENG",17,"20.06.2024","19:00","C","Tanska","Englanti","5.5","3.9","1.62"
"ESPITA",18,"20.06.2024","22:00","B","Espanja","Italia","2.35","3.3","3"
"SVKUKR",19,"21.06.2024","16:00","E","Slovakia","Ukraina","3.8","3.4","2"
"POLAUT",20,"21.06.2024","19:00","D","Puola","Itävalta","3.3","3.5","2.15"
"NEDFRA",21,"21.06.2024","22:00","D","Hollanti","Ranska","4.33","3.75","1.8"
"GEOCZE",22,"22.06.2024","16:00","F","Georgia","Tshekki","4.6","3.5","1.82"
"TURPOR",23,"22.06.2024","19:00","F","Turkki","Portugali","5.25","4","1.62"
"BELROM",24,"22.06.2024","22:00","E","Belgia","Romania","1.52","4.2","6"
"SUIGER",25,"23.06.2024","22:00","A","Sveitsi","Saksa","4.33","3.9","1.77"
"SCOHUN",26,"23.06.2024","22:00","A","Skotlanti","Unkari","2.8","3.5","2.4"
"ALBESP",27,"24.06.2024","22:00","B","Albania","Espanja","9.5","5.25","1.33"
"CROITA",28,"24.06.2024","22:00","B","Kroatia","Italia","3.7","3.6","1.95"
"NEDAUT",29,"25.06.2024","19:00","D","Hollanti","Itävalta","2.15","3.7","3.1"
"FRAPOL",30,"25.06.2024","19:00","D","Ranska","Puola","1.42","4.8","6.75"
"ENGSLO",31,"25.06.2024","22:00","C","Englanti","Slovenia","1.36","5","8.75"
"DENSRB",32,"25.06.2024","22:00","C","Tanska","Serbia","2.4","3.4","2.87"
"SVKROM",33,"26.06.2024","19:00","E","Slovakia","Romania","2.6","3.1","2.8"
"UKRBEL",34,"26.06.2024","19:00","E","Ukraina","Belgia","4.33","3.8","1.77"
"GEOPOR",35,"26.06.2024","22:00","F","Georgia","Portugali","7.25","5.75","1.34"
"CZETUR",36,"26.06.2024","22:00","F","Tshekki","Turkki","3.1","3.3","2.3"
