1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Rodri
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,1-1,X,1,1,,A,Saksa,1,5,3,2,5,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbappé
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,1-1,X,1,1,,A,Skotlanti,4,2,4,-2,1,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Jude Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,2-0,1,2,0,,A,Sveitsi,1,4,3,1,5,,2,Sveitsi,,Slovakia,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Daniele Orsato
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,2-0,1,2,0,,A,Unkari,3,4,4,0,4,,3,Unkari,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Luka Modrić
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,0-3,2,0,3,,B,Albania,4,0,8,-8,0,,4,Skotlanti,,,,Englanti,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Gianluigi Donnarumma
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,1-2,2,1,2,,B,Espanja,1,6,1,5,7,,Lohko B,,,Saksa,,,,,,,,,3,Federico Dimarco
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,0-3,2,0,3,,B,Italia,2,5,3,2,5,,1,Espanja,,Englanti,,,,VÄLIERÄT (12p),,,,,3,Joško Gvardiol
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,1-2,2,1,2,,B,Kroatia,3,5,4,1,4,,2,Italia,,,,,,Espanja,,,,,3,John Stones
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,2-1,1,2,1,,C,Englanti,2,6,1,5,6,,3,Kroatia,,,,,,Portugali,,,,,3,Alejandro Grimaldo
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,0-2,2,0,2,,C,Serbia,3,4,7,-3,2,,4,Albania,,Portugali,,,,,,,,,3,Rodri
