1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Kylian Mbappe
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,3-0,1,2,2,,A,Saksa,1,2,2,0,7,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Harry Kane
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,0-2,2,1,1,,A,Skotlanti,4,2,2,0,0,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Florian Wirtz
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,1-1,X,0,0,,A,Sveitsi,1,1,1,0,7,,2,Sveitsi,,Tshekki,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Daniele Orsato
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,2-0,1,0,0,,A,Unkari,3,1,1,0,3,,3,Ubnkari,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Kylian Mbappe
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,0-1,2,0,0,,B,Albania,4,0,0,0,0,,4,Skotlanti,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Mike Maignan
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,0-1,2,0,0,,B,Espanja,1,0,0,0,5,,Lohko B,,,Saksa,,,,,,,,,3,Joao Cancelo
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,1-2,2,0,0,,B,Italia,1,0,0,0,5,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Ruben Diaz
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,0-2,2,0,0,,B,Kroatia,1,0,0,0,5,,2,Kroatia,,,,,,Saksa,,,,,3,Antonio Rudiger
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,0-0,X,0,0,,C,Englanti,1,0,0,0,9,,3,Italia,,,,,,Portugali,,,,,3,Joshua Kimmich
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,0-2,2,0,0,,C,Serbia,3,0,0,0,3,,4,Albania,,Portugali,,,,,,,,,3,Toni Kroos
11,18.06.2024,19:00,F,Turkki,Georgia,1.8,3.5,4.75,3-1,1,0,0,,C,Slovenia,4,0,0,0,0,,Lohko C,,,Italia,,,,,,,,,3,Florian Wirtz
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.2,6,3-1,1,0,0,,C,Tanska,2,0,0,0,6,,1,Englanti,,,,Portugali,,,,,,,3,Antoine Griezmann
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4,6,3-0,1,0,0,,D,Hollanti,2,0,0,0,6,,2,Tanska,,,,Hollanti,,,,,,,3,Diego Jota
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,3-0,1,0,0,,D,Itävalta,4,0,0,0,0,,3,Serbia,,Hollanti,,,,,,,,,3,Harry Kane
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.5,3.4,2.1,0-1,2,0,0,,D,Puola,3,0,0,0,3,,4,Slovenia,,Ukraina,,,,,,FINAALI (16p),,,3,Kylian Mbappe
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.4,1.98,1-3,2,0,0,,D,Ranska,1,0,0,0,9,,Lohko D,,,,,,,,,Ranska,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.5,3.9,1.62,1-2,2,0,0,,E,Belgia,1,0,0,0,7,,1,Ranska,,,,,,,,Portugali,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.3,3,1-1,X,0,0,,E,Romania,4,0,0,0,0,,2,Hollanti,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.8,3.4,2,0-1,2,0,0,,E,Slovakia,3,0,0,0,4,,3,Puola,,Serbia,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.3,3.5,2.15,1-0,1,0,0,,E,Ukraina,2,0,0,0,6,,4,Itävalta,,,,Ranska,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.8,0-2,2,0,0,,F,Georgia,4,0,0,0,0,,Lohko E,,,,,Belgia,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,4.6,3.5,1.82,0-1,2,0,0,,F,Portugali,1,0,0,0,9,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,5.25,4,1.62,1-2,2,0,0,,F,Tshekki,3,0,0,0,3,,2,Ukraina,,Turkki,,,,,,,,,,
