1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Mbappe
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,1-1,X,1,1,,A,Saksa,1,3,3,0,3,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Dovbyk
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,1-1,X,1,1,,A,Skotlanti,1,3,3,0,3,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,1-1,X,1,1,,A,Sveitsi,1,3,3,0,3,,2,Sveitsi,,Unkari,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Orsato
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,1-1,X,1,1,,A,Unkari,1,3,3,0,3,,3,Unkari,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,De Bruyne
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,1-1,X,1,1,,B,Albania,1,3,3,0,3,,4,Skotlanti,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Sommer
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,1-1,X,1,1,,B,Espanja,1,3,3,0,3,,Lohko B,,,Saksa,,,,,,,,,3,van Dijk
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,1-1,X,1,1,,B,Italia,1,3,3,0,3,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Ruben Dias
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,1-1,X,1,1,,B,Kroatia,1,3,3,0,3,,2,Italia,,,,,,Saksa,,,,,3,Saliba
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,1-1,X,1,1,,C,Englanti,1,3,3,0,3,,3,Kroatia,,,,,,Hollanti,,,,,3,Dimarco
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,1-1,X,1,1,,C,Serbia,1,3,3,0,3,,4,Albania,,Portugali,,,,,,,,,3,Bellingham
