1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,Paras pelaaja (15p),15,Kylian Mbappé
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,3-0,1,3,0,,A,Saksa,1,7,1,6,9,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbappé
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,1-1,X,1,1,,A,Skotlanti,4,1,7,-6,0,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Florian Wirtz
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,2-0,1,2,0,,A,Sveitsi,2,3,4,-1,4,,2,Unkari,,Sveitsi,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Szymon Marciniak
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,2-0,1,2,0,,A,Unkari,2,3,3,0,4,,3,Sveitsi,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Kylian Mbappé
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,0-2,2,0,2,,B,Albania,4,0,5,-5,0,,4,Skotlanti,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Kylian Mbappé
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,0-1,2,0,1,,B,Espanja,1,5,1,4,7,,Lohko B,,,Saksa,,,,,,,,,3,Florian Wirtz
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,0-1,2,0,1,,B,Italia,1,5,2,3,7,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Antoine Griezmann
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,0-1,2,0,1,,B,Kroatia,3,2,4,-2,3,,2,Italia,,,,,,Saksa,,,,,3,Toni Kroos
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,2-0,1,2,0,,C,Englanti,1,4,1,3,7,,3,Kroatia,,,,,,Portugali,,,,,3,Bruno Fernandes
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,0-2,2,0,2,,C,Serbia,3,1,3,-2,1,,4,Albania,,Portugali,,,,,,,,,3,Jude Bellingham
