1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Kylian Mbappé
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,2-1,X,2,2,,A,Saksa,1,2,2,0,3,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbappé
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,0-1,X,1,1,,A,Skotlanti,1,2,2,0,3,,1,Saksa,,Italia,,,,,,,,Paras nuori pelaaja (10p),10,Jude Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,1-2,X,0,0,,A,Sveitsi,1,1,1,0,3,,2,Sveitsi,,Turkki,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Szymon Marciniak
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,3-0,X,0,0,,A,Unkari,1,1,1,0,3,,3,Unkari,,,,Italia,,,,,,Eniten Man of the Match-valintoja (5p),5,Gianluigi Donnarumma
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,1-2,X,0,0,,B,Albania,1,0,0,0,3,,4,Skotlanti,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Kylian Mbappé
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,0-2,X,0,0,,B,Espanja,1,0,0,0,3,,Lohko B,,,Saksa,,,,,,,,,3,Harry Kane
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,0-3,X,0,0,,B,Italia,1,0,0,0,3,,1,Italia ,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Bruno Fernandes
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,1-1,X,0,0,,B,Kroatia,1,0,0,0,3,,2,Espanja,,,,,,Italia,,,,,3,Phil Foden
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,2-0,X,0,0,,C,Englanti,1,0,0,0,3,,3,Kroatia,,,,,,Hollanti,,,,,3,Kevin de Bruyne
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,0-2,X,0,0,,C,Serbia,1,0,0,0,3,,4,Albania,,Portugali,,,,,,,,,3,Nico Williams
11,18.06.2024,19:00,F,Turkki,Georgia,1.8,3.5,4.75,1-0,X,0,0,,C,Slovenia,1,0,0,0,3,,Lohko C,,,Kroatia,,,,,,,,,3,Virgil van Dijk
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.2,6,2-0,X,0,0,,C,Tanska,1,0,0,0,3,,1,Englanti,,,,Portugali,,,,,,,3,Alejandro Grimaldo
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4,6,3-0,X,0,0,,D,Hollanti,1,0,0,0,3,,2,Tanska,,,,Hollanti,,,,,,,3,Federico Dimarco
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,2-1,X,0,0,,D,Itävalta,1,0,0,0,3,,3,Slovenia,,Hollanti,,,,,,,,,3,Dani Carvajal
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.5,3.4,2.1,1-1,X,0,0,,D,Puola,1,0,0,0,3,,4,Serbia,,Ukraina,,,,,,FINAALI (16p),,,3,Gianluigi Donnarumma
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.4,1.98,1-1,X,0,0,,D,Ranska,1,0,0,0,3,,Lohko D,,,,,,,,,Englanti,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.5,3.9,1.62,1-1,X,0,0,,E,Belgia,1,0,0,0,3,,1,Ranska,,,,,,,,Italia,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.3,3,1-2,X,0,0,,E,Romania,1,0,0,0,3,,2,Hollanti,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.8,3.4,2,1-1,X,0,0,,E,Slovakia,1,0,0,0,3,,3,Puola,,Puola,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.3,3.5,2.15,2-1,X,0,0,,E,Ukraina,1,0,0,0,3,,4,Itävalta,,,,Belgia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.8,1-2,X,0,0,,F,Georgia,1,0,0,0,3,,Lohko E,,,,,Ranska,,,,,,,,
