1. Tulosveikkaus,,,,,,,,,,,,,@dropdown,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Phil Foden
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,1-1,X,1,1,,A,Saksa,1,5,1,4,7,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),10,Harry Kane
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,2-0,1,2,0,,A,Skotlanti,2,4,3,1,5,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Jude Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,1-0,1,1,0,,A,Sveitsi,4,0,5,-5,0,,2,Skolanti,,Hollanti,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Szymon Marciniak
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,3-0,1,3,0,,A,Unkari,3,0,4,-4,4,,3,Unkari,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Bruno Fernandez
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,1-3,2,1,3,,B,Albania,4,2,7,-5,0,,4,Sveitsi,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Harry Kane
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,1-1,X,1,1,,B,Espanja,1,4,2,2,7,,Lohko B,,,Saksa,,,,,,,,,3,Jude Bellingham
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,0-1,2,0,1,,B,Italia,2,6,3,3,5,,1,Espanja,,Serbia,,,,VÄLIERÄT (12p),,,,,3,Phil Foden
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,0-1,2,0,1,,B,Kroatia,3,4,4,0,4,,2,Italia,,,,,,Espanja,,,,,3,Bruno Fernandez
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,1-0,1,1,0,,C,Englanti,1,7,3,4,9,,3,Kroatia,,,,,,Portugali,,,,,3,Antoine Griezmann
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,1-3,2,1,3,,C,Serbia,2,1,1,0,4,,4,Albania,,Portugali,,,,,,,,,3,Rodri
11,18.06.2024,19:00,F,Turkki,Georgia,1.8,3.5,4.75,3-0,1,3,0,,C,Slovenia,3,3,5,-2,2,,Lohko C,,,Kroatia,,,,,,,,,3,Joao Cancelo
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.2,6,1-0,1,1,0,,C,Tanska,4,2,4,-2,1,,1,Englanti,,,,Portugali,,,,,,,3,Ruben Dias
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4,6,2-1,1,2,1,,D,Hollanti,2,4,6,-2,4,,2,Serbia,,,,Itävalta,,,,,,,3,John Stones
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,2-0,1,2,0,,D,Itävalta,2,3,4,-1,4,,3,Slovenia,,Itävalta,,,,,,,,,3,Theo Hernandez
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.5,3.4,2.1,1-0,1,1,0,,D,Puola,4,2,6,-4,0,,4,Tanska,,Ukraina,,,,,,FINAALI (16p),,,3,Diogo Costa
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.4,1.98,0-0,X,0,0,,D,Ranska,1,9,2,7,9,,Lohko D,,,,,,,,,Englanti,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.5,3.9,1.62,1-2,2,1,2,,E,Belgia,1,5,0,5,9,,1,Ranska,,,,,,,,Portugali,,,,
