1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Jude Bellingham
1,14.06.2024,22:00,A,Saksa,Skotlanti,"1,27","5,75","11,00",1 - 2,2,1,2,,A,Saksa,2,5,4,1,4,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbpappe
2,15.06.2024,16:00,A,Unkari,Sveitsi,"3,40","3,25","2,20",0 - 3,2,0,3,,A,Skotlanti,2,3,5,−2,4,,1,Sveitsi,,Italia,,,,,,,,Paras nuori pelaaja (10p),10,Florian Wirtz
3,15.06.2024,19:00,B,Espanja,Kroatia,"1,80","3,60","4,50",2 - 2,X,2,2,,A,Sveitsi,1,8,2,6,7,,2,Saksa,,Turkki,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Felix Brych
4,15.06.2024,22:00,B,Italia,Albania,"1,38","4,60","8,75",4 - 1,1,4,1,,A,Unkari,4,8,6,2,1,,3,Skotlanti,,,,Italia,,,,,,Eniten Man of the Match-valintoja (5p),5,Jude Bellingham
5,16.06.2024,16:00,D,Puola,Hollanti,"5,00","3,90","1,66",1 - 2,2,1,2,,B,Albania,4,1,13,−12,0,,4,Unkari,,,,Tanska,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Jan Sommer
6,16.06.2024,19:00,C,Slovenia,Tanska,"5,00","3,50","1,75",1 - 3,2,1,3,,B,Espanja,2,9,3,6,5,,Lohko B,,,Sveitsi,,,,,,,,,3,Kylian Mbappe
7,16.06.2024,22:00,C,Serbia,Englanti,"6,75","4,40","1,47",1 - 3,2,1,3,,B,Italia,1,7,3,4,7,,1,Italia,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Eduardo Camavinga
8,17.06.2024,16:00,E,Romania,Ukraina,"3,70","3,30","2,05",1 - 1,X,1,1,,B,Kroatia,3,6,4,2,4,,2,Espanja,,,,,,Italia,,,,,3,Jude Bellingham
9,17.06.2024,19:00,E,Belgia,Slovakia,"1,49","4,33","6,75",3 - 0,1,3,0,,C,Englanti,1,9,4,5,7,,3,Kroatia,,,,,,Hollanti,,,,,3,Florian Wirtz
10,17.06.2024,22:00,D,Itävalta,Ranska,"6,25","4,60","1,47",1 - 4,2,1,4,,C,Serbia,3,4,7,−3,1,,4,Albania,,Tshekki,,,,,,,,,3,Phil Foden
