1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Kylian Mbappé
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11.00,2-0,X,2,2,,A,Saksa,1,2,2,0,3,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbappé
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.40,3.25,2.20,0-1,X,1,1,,A,Skotlanti,1,2,2,0,3,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Lamine Yamal
3,15.06.2024,19:00,B,Espanja,Kroatia,1.80,3.60,4.50,2-2,X,0,0,,A,Sveitsi,1,1,1,0,3,,2,Skotlanti,,Sveitsi,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Daniele Orsato
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.60,8.75,4-0,X,0,0,,A,Unkari,1,1,1,0,3,,3,Sveitsi,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Kylian Mbappé
5,16.06.2024,16:00,D,Puola,Hollanti,5.00,3.90,1.66,1-1,X,0,0,,B,Albania,1,0,0,0,3,,4,Unkari,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Manuel Neuer
6,16.06.2024,19:00,C,Slovenia,Tanska,5.00,3.50,1.75,0-2,X,0,0,,B,Espanja,1,0,0,0,3,,Lohko B,,,Saksa,,,,,,,,,3,Antonio Rüdiger
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.40,1.47,3-1,X,0,0,,B,Italia,1,0,0,0,3,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Kyle Walker
8,17.06.2024,16:00,E,Romania,Ukraina,3.70,3.30,2.05,1-1,X,0,0,,B,Kroatia,1,0,0,0,3,,2,Italia,,,,,,Saksa,,,,,3,Federico Dimarco
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,1-1,X,0,0,,C,Englanti,1,0,0,0,3,,3,Kroatia,,,,,,Portugali,,,,,3,William Saliba
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.60,1.47,0-3,X,0,0,,C,Serbia,1,0,0,0,3,,4,Albania,,Portugali,,,,,,,,,3,Rodri
11,18.06.2024,19:00,F,Turkki,Georgia,1.80,3.50,4.75,0-0,X,0,0,,C,Slovenia,1,0,0,0,3,,Lohko C,,,Kroatia,,,,,,,,,3,Ousmane Dembélé
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.20,6.00,2-0,X,0,0,,C,Tanska,1,0,0,0,3,,1,Englanti,,,,Portugali,,,,,,,3,Kevin de Bruyne
