1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Florian Wirtz
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11.00,3-1,1,3,1,,A,Saksa,1,8,3,5,9,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Cristiano Ronaldo
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.40,3.25,2.20,1-1,X,1,1,,A,Skotlanti,2,3,3,0,6,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Jude Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.80,3.60,4.50,2-2,X,2,2,,A,Sveitsi,3,2,4,-2,1,,2,Skotlanti,,Ukraina,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Danny Makkelie
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.60,8.75,2-1,1,2,1,,A,Unkari,3,2,5,-3,1,,3,Sveitsi,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,Kylian Mbappe
5,16.06.2024,16:00,D,Puola,Hollanti,5.00,3.90,1.66,1-0,1,1,0,,B,Albania,4,1,7,-6,0,,4,Unkari,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Jude Bellingham
6,16.06.2024,19:00,C,Slovenia,Tanska,5.00,3.50,1.75,0-0,X,0,0,,B,Espanja,1,6,3,3,5,,Lohko B,,,Saksa,,,,,,,,,3,Florian Wirtz
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.40,1.47,2-4,2,2,4,,B,Italia,1,4,3,1,5,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Cristiano Ronaldo
8,17.06.2024,16:00,E,Romania,Ukraina,3.70,3.30,2.05,0-1,2,0,1,,B,Kroatia,1,5,3,2,5,,2,Kroatia,,,,,,Saksa,,,,,3,Pepe
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,2-0,1,2,0,,C,Englanti,1,8,3,5,9,,3,Italia,,,,,,Portugali,,,,,3,Bernardo Silva
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.60,1.47,0-3,2,0,3,,C,Serbia,3,4,5,-1,3,,4,Albania,,Portugali,,,,,,,,,3,Antonio Rudiger
